# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J115059+204212   A1367_fr2_148_VB    11:50:59.81   177.7491944441111    1.3      20:42:12.87   20.703575       11       6122     2    57    5      78    7      10.6     0.8    0.567     0.074   9.061591014300737    0.093601599108284      17.7     8.3     0.6   0      2831727121401931776   2831638335837988864   323       54180   177.74413   20.705773   0.02041595    5.763853E-6   6120       1         -1                    1.16092   0.05579     6122.0       27.98848447411712    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14838   0.05284    
  J114742+205842   A1367_fr2_075_VB    11:47:42.90   176.9287361111111    0.8      20:58:42.06   20.97835        13       7253     3    146   6      160   9      6.7      0.8    0.78      0.106   9.200102558098312    0.09601456736971443    9.6      5.0     0.7   4      2825006081699244032   2824882936396933120   448       54180   176.92877   20.975342   0.02417646    9.500955E-6   7247       1         -1                    1.21941   0.06939     7253.0       20.62078228407615    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.15986   0.06467    
  J114833+204053   A1367_fr2_069_VB    11:48:33.44   177.1393194441111    0.7      20:40:53.37   20.6814916667   10       7034     3    166   7      191   10     7.1      0.7    0.956     0.102   9.28846584768393     0.08335169754517147    11.8     7.1     0.6   0      2825029171443427328   2824882936396933120   532       54180   177.13917   20.682556   0.02351762    7.243395E-6   7050       1         -1                    1.22391   0.05329     7034.0       27.652703690941497   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.11291   0.04753    
  J114739+200907   A1367_fr3_040_VB    11:47:39.03   176.9126111111111    0.7      20:09:07.67   20.1521305556   10       5318     4    123   9      147   13     4.8      0.6    0.378     0.073   8.885499755245055    0.1211437481742796     7.9      3.6     0.6   0      2825025872908544000   2824882936396933120   520       54180   176.90654   20.150173   0.01774423    9.081593E-6   5319       1         -1                    1.36684   0.12861     5318.0       12.702025957091811   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.27777   0.12051    
  J114115+184910   A1367_fr2_032_VB    11:41:15.85   175.3160277781111    0.8      18:49:10.69   18.8196361111   11       8066     5    149   10     167   15     5.4      0.9    0.532     0.118   9.03391958770288     0.13347727522954161    6.0      3.1     0.9   0      2821555539316598784   2821505236659628032   183       54179   175.32096   18.820761   0.02692169    1.153734E-5   8070       1         -1                    1.07493   0.11497     8066.0       10.82831773605472    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.03168   0.10952    
  J114954+183342   A1367_fr3_006_VB    11:49:54.04   177.4751527781111    0.7      18:33:42.80   18.5618888889   10       5812     4    189   9      233   13     8.0      0.8    1.145     0.122   9.366813442083737    0.08351623581911984    11.4     5.9     0.7   0      2824894481269024768   2824882936396933120   42        54180   177.47167   18.560574   0.01940474    8.661356E-6   5817       1         -1                    1.08975   0.05613     5812.0       26.604894845858826   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.07056   0.05463    
  J115028+210442   A1367_fr2_079_VB    11:50:28.25   177.6176944441111    1.1      21:04:42.31   21.0784194444   16       7550     8    72    15     130   23     5.8      0.9    0.408     0.09    8.918668118497711    0.13333108555501297    7.2      3.6     0.8   0      2829453605579286528   2829386535369992192   244       54141   177.61662   21.086026   0.02518509    2.49091E-5    7550       1         -1                    2.24038   0.28633     7550.0       13.43968005571561    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14339   0.09817    
  J115350+202720   A1367_fr2_060_VB    11:53:50.77   178.4615277781111    0.7      20:27:20.23   20.4556194444   11       6931     2    87    5      104   7      9.4      0.8    0.604     0.086   9.089044894028962    0.09872122723258865    13.4     6.4     0.7   0      2831771651622856704   2831638335837988864   485       54180   178.46026   20.451639   0.02304813    9.751747E-6   6909       1         -1                    1.20965   0.05187     6931.0       20.685416721226574   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.12933   0.05362    
  J114724+192327   A1367_fr3_016_VB    11:47:23.97   176.8498611111111    0.7      19:23:27.75   19.3910416667   11       5853     4    159   7      178   11     5.2      0.7    0.61      0.089   9.093337790418598    0.10059056788177902    8.7      4.8     0.6   0      2824924717838788608   2824882936396933120   152       54180   176.85449   19.392048   0.01957364    5.848107E-6   5868       1         -1                    1.11249   0.07071     5853.0       18.02872542918601    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.06914   0.05928    
  J114210+184132   A1367_fr2_221_VB    11:42:10.59   175.5441111111111    1.0      18:41:32.55   18.692375       11       8471     9    156   17     191   26     4.8      1.0    0.474     0.13    8.983786297081917    0.15662779737358906    4.8      2.2     1.0   0      2821519255432882176   2821505236659628032   51        54179   175.54672   18.685691   0.02820461    6.114058E-6   8455       1         -1                    1.48948   0.21762     8471.0       8.48596125736728     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.19673   0.1728     
